epoch,address,status_before,status_after,cw_before,cw_after,raw_cw_delta,lost_cw_counted,eligible,category,compensation_ngonka,compensation_gnk,reason
276,gonka1u4zxypjgcr8khlzefwjr0vwdaj2uzruw2cehj3,ACTIVE,INACTIVE,1014,0,-1014,1014,1,included_dropped,274975537419,274.975537419,ACTIVE before h_before and positive eligible confirmation-weight loss
276,gonka10079cnl3nuh2k82mhkm04dj0slhtw9kmjewwau,ACTIVE,ACTIVE,45840,30947,-14893,14893,1,included_reduced,4038669308466,4038.669308466,ACTIVE before h_before and positive eligible confirmation-weight loss
276,gonka14ljarev2nlzu4ej50vx7ylj2rvg4n20fnq2ysc,ACTIVE,ACTIVE,16651,16323,-328,328,1,included_reduced,88946722163,88.946722163,ACTIVE before h_before and positive eligible confirmation-weight loss
276,gonka168rtjfkszuhcggg4dfyse4yh7xn9zwfglnkns2,ACTIVE,ACTIVE,15129,14988,-141,141,1,included_reduced,38236243368,38.236243368,ACTIVE before h_before and positive eligible confirmation-weight loss
276,gonka1ce02jjduga8jvwj8jx39mxn0jr345vgkx7lk2n,ACTIVE,ACTIVE,7503,7462,-41,41,1,included_reduced,11118340270,11.118340270,ACTIVE before h_before and positive eligible confirmation-weight loss
276,gonka1duuaqdx06sx8v2dzggltwwmqyuw8lvjkjq7xll,ACTIVE,ACTIVE,129237,128573,-664,664,1,included_reduced,180062876574,180.062876574,ACTIVE before h_before and positive eligible confirmation-weight loss
276,gonka1fvly5jrewyjmjfgwah3khy9rttq4cqajcesv9p,ACTIVE,ACTIVE,168,165,-3,3,1,included_reduced,813537092,0.813537092,ACTIVE before h_before and positive eligible confirmation-weight loss
276,gonka1gvrrhjmy4w4mayvs2s5l23edj8ertcmtd2v4zr,ACTIVE,ACTIVE,61659,47698,-13961,13961,1,included_reduced,3785930451587,3785.930451587,ACTIVE before h_before and positive eligible confirmation-weight loss
276,gonka1kx9mca3xm8u8ypzfuhmxey66u0ufxhs7nm6wc5,ACTIVE,ACTIVE,5315,5270,-45,45,1,included_reduced,12203056394,12.203056394,ACTIVE before h_before and positive eligible confirmation-weight loss
276,gonka1rcpc45n6zch9qlkn4m3cwngekad89xu8mcr09v,ACTIVE,ACTIVE,4844,4832,-12,12,1,included_reduced,3254148371,3.254148371,ACTIVE before h_before and positive eligible confirmation-weight loss
276,gonka1scskt6wpnjnumsah6kjphmdu87vjgvcxmn4rxv,ACTIVE,ACTIVE,31283,17521,-13762,13762,1,included_reduced,3731965824421,3731.965824421,ACTIVE before h_before and positive eligible confirmation-weight loss
276,gonka1yal0ysgzc860zt3y8cds8656tnueusgymftvkw,ACTIVE,ACTIVE,14650,14448,-202,202,1,included_reduced,54778164259,54.778164259,ACTIVE before h_before and positive eligible confirmation-weight loss
276,gonka1zktn8j65wlys8a8e38hqhf4y3x6m4x04zskkrx,ACTIVE,ACTIVE,8301,5921,-2380,2380,1,included_reduced,645406093745,645.406093745,ACTIVE before h_before and positive eligible confirmation-weight loss
