epoch,address,case_family,case_track,source_status,source_scope,planned_amount_gonka,p4_paid_overlap_gonka,p4_paid_tracks,overlap_adjustment_gonka,p4_overpaid_gonka,final_payout_gonka,comment
276,gonka1gvrrhjmy4w4mayvs2s5l23edj8ertcmtd2v4zr,P3-CAND-04,P3-CAND-04,pending_estimate_revalidation_required,partial_cpoc_damage,3390.761041922,5081.270939637,P4-GroupCap-source,3390.761041922,1690.509897715,0.000000000,P4 exact payment exceeds this planned amount; final payout floored at zero.
276,gonka1gyk0aahvr3qeju4zx0nplfreej6cy4jjk8svc5,P3-CAND-04,P3-CAND-04,pending_estimate_revalidation_required,failed_cpoc_full_drop,83.791459026,,,,,83.791459026,No exact P4 paid overlap.
276,gonka1kx9mca3xm8u8ypzfuhmxey66u0ufxhs7nm6wc5,P3-CAND-04,P3-CAND-04,pending_estimate_revalidation_required,partial_cpoc_damage,10.929320742,351.632757601,P4-GroupCap-source,10.929320742,340.703436859,0.000000000,P4 exact payment exceeds this planned amount; final payout floored at zero.
276,gonka1mmlyd5xxu5l68yx8wzclrkxkxvm88mhq5tp5s0,P3-CAND-04,P3-CAND-04,pending_estimate_revalidation_required,failed_cpoc_full_drop,3540.857046786,,,,,3540.857046786,No exact P4 paid overlap.
276,gonka1rcpc45n6zch9qlkn4m3cwngekad89xu8mcr09v,P3-CAND-04,P3-CAND-04,pending_estimate_revalidation_required,partial_cpoc_damage,2.914485531,,,,,2.914485531,No exact P4 paid overlap.
276,gonka1scskt6wpnjnumsah6kjphmdu87vjgvcxmn4rxv,P3-CAND-04,P3-CAND-04,pending_estimate_revalidation_required,partial_cpoc_damage,3342.429156860,1811.086293948,P4-GroupCap-source,1811.086293948,,1531.342862912,Exact P4 paid overlap deducted; remaining payout is positive.
276,gonka1u4zxypjgcr8khlzefwjr0vwdaj2uzruw2cehj3,P3-CAND-04,P3-CAND-04,pending_estimate_revalidation_required,failed_cpoc_full_drop,246.274027398,,,,,246.274027398,No exact P4 paid overlap.
276,gonka1yal0ysgzc860zt3y8cds8656tnueusgymftvkw,P3-CAND-04,P3-CAND-04,pending_estimate_revalidation_required,partial_cpoc_damage,49.060506444,1786.223371693,P4-GroupCap-source,49.060506444,1737.162865249,0.000000000,P4 exact payment exceeds this planned amount; final payout floored at zero.
276,gonka1zktn8j65wlys8a8e38hqhf4y3x6m4x04zskkrx,P3-CAND-04,P3-CAND-04,pending_estimate_revalidation_required,partial_cpoc_damage,578.039630382,,,,,578.039630382,No exact P4 paid overlap.
TOTAL,,,,,,99773.810455897,34944.788622168,,29619.785787646,5325.002834522,70154.024668251,
