address,case_family_count,case_track_count,component_rows,epochs_present,exact_address_epoch_overlap_keys,status_groups,case_tracks,P3-CAND-01_gonka,P3-CAND-02_gonka,P3-CAND-03_gonka,P3-CAND-04_gonka,P4-CAND-01_gonka,total_gonka_if_naively_summed
gonka10075dz43h94zhqu5hwdj3nyjay6v8mzwvpxr0s,1,1,1,269,0,disputed_not_aggregate,P4-GroupCap-source,,,,,1017.602508283,1017.602508283
gonka1007lnkyhdh7aq0vjdcdwcerkdh4yy85rymjdg6,1,1,1,269,0,disputed_not_aggregate,P4-GroupCap-source,,,,,1007.974841606,1007.974841606
gonka1007n977a7uda3pd9m6hftw8xcql0tc20m96myu,1,1,2,"268,269",0,disputed_not_aggregate,P4-GroupCap-source,,,,,3396.492511794,3396.492511794
gonka105ce4495mj0mwkxqeasgdzqfq5jjrfq32eza5l,1,1,1,132,0,local_validated_recommended,P3-CAND-02,,14.096689777,,,,14.096689777
gonka10kmsyy00yxnky2xfqy9wce0l7uaadq4jjp3ykg,1,1,1,112,0,local_validated_recommended,P3-CAND-02,,7.993576578,,,,7.993576578
gonka12l3fwycgvs9tdpze59za89zq4cexhkxddafxdh,1,1,1,116,0,local_validated_recommended,P3-CAND-02,,150.749450599,,,,150.749450599
gonka12pcu9mcrpa4w4sjd9y3dsksnvu495ss6f9r4ra,1,1,1,266,0,pending_estimate,P4-e266-delegation,,,,,1166.439755518,1166.439755518
gonka13a4v8gxxjav5t4xq5y9cv9d8rfnvkjfw5adqz3,1,1,1,266,0,pending_estimate,P4-e266-nonce,,,,,521.637814838,521.637814838
gonka14g78ez2zy08k8sssue483zmfpgd4qut8zcwlqc,1,1,1,267,0,disputed_not_aggregate,P4-GroupCap-source,,,,,2602.055673919,2602.055673919
gonka1598sglu00mktw3973jmwsu3vdw29mgcfjleju2,1,1,1,116,0,local_validated_recommended,P3-CAND-02,,71.065864191,,,,71.065864191
